Mileage_Category,Service Category,Service Category
40k,Tires & Wheels,112
30k,Tires & Wheels,104
60k,Tires & Wheels,98
50k,Tires & Wheels,93
110k,Tires & Wheels,60
70k,Tires & Wheels,59
10k,Tires & Wheels,59
80k,Tires & Wheels,44
100k,Tires & Wheels,42
120k,Tires & Wheels,38
90k,Tires & Wheels,33
20k,Tires & Wheels,23
above 200k,Tires & Wheels,22
130k,Tires & Wheels,21
140k,Tires & Wheels,19
160k,Tires & Wheels,8
150k,Tires & Wheels,8
190k,Tires & Wheels,3
170k,Tires & Wheels,3
200k,Tires & Wheels,2
